objectid,title,date,creator,description,item_information,subject,exhibition_location,related_publication,publisher-digital,source,,original-identifier,rights,rightsstatement,type,format,language,relation,filename,identifier,display_template,object_location
objectid,title,2015,Warlimpirrnga Tjapaltjarri,"“Warlimpirrnga Tjapaltjarri lived a nomadic existence untouched by European contact until 1984, when he and eight other family members walked in from the Gibson Desert to the remote community of Kiwirrkurra in Western Australia. With the art movement in this region having begun over ten years prior, Warlimpirrnga entered into this stream of artists with a great measure of reverence and respect. Almost immediately, his paintings had the resolve and strength of the veteran and most senior Papunya Tula artists. His depiction of the sites and narratives of his homelands around Lake Mackay, a vast salt lake, draws from the ancestral realm and the power of these places.” (Vanessa Merlino and Luke Scholes, 60 over 50: 60 Paintings from 50 Years of Australian First Nations Art, 2023, p. 22)",Painting,,,,,"Two Collections, Collection of Steve Martin and Anne Stringfield",,,Education use,https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,image/jpeg,eng,,Warlimpirrnga_Tjapaltjarri_Untitled_2015.jpg,,record,https://twocollections.com/artists/40-warlimpirrnga-tjapaltjarri/works/9428-warlimpirrnga-tjapaltjarri-untitled-2015/
work (id),title,2017,Warlimpirrnga Tjapaltjarri,"""This painting depicts designs associated with the salt lake site of Wilkinkarra (Lake Mackay) in Western Australia. In mythological times two Tingari Men travelled Wilkinkarra from the soakage water site of Marawa in the west. When the men arrived at Wilkinkarra they lit a large fire in order to flush out the malu (kangaroo). They later entered the earth and continued their travels underground towards the east. This story forms part of the Tingari Cycle. Since events associated with the Tingari Cycle are of a secret nature no further detail was given. Generally, the Tingari are a group of ancestral beings of the Dreaming who travelled over vast stretches of the country, performing rituals and creating and shaping particular sites. The Tingari men were usually followed by Tingari women and were accompanied by novices, and their travels and adventures are enshrined in a number of song cycles. These ancestral stories form part of the teachings of the post initiatory youths today as well as providing explanations for contemporary customs."" (Papunya Tula Artists, cat. no. WT1710031)",Painting,,,,,"Two Collections, Collection of Steve Martin and Anne Stringfield",,,Education use,https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,image/jpeg,eng,,Warlimpirrnga_Tjapaltjarri_Untitled_2017.jpg,,record,https://twocollections.com/artists/40-warlimpirrnga-tjapaltjarri/works/9429-warlimpirrnga-tjapaltjarri-untitled-2017/
W_9428,Untitled,2016,Yukultji Napangati,"""This painting depicts designs associated with the site of Marrapinti, west of the Kiwirrkura Community and the Pollock Hills in Western Australia. A large group of ancestral women camped at this rockhole before continuing their travels further east, passing through Wala Wala, Kiwirrkura and Ngaminya. The sinuous lines that culminate in a roundel represent the creek and cave at Marrapinti, as well as the surrounding tali (sandhills)."" — Papunya Tula Artists",Painting,,,,,"Two Collections, Collection of Steve Martin and Anne Stringfield",,,Education use,https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,image/jpeg,eng,,Yukultji_Napangati_Untitled_2016.jpg,,record,https://twocollections.com/artworks/categories/2/9368-yukultji-napangati-untitled-2016/
W_9429,Untitled,2018,Yukultji Napangati,,Painting,,,,,"Two Collections, Collection of Steve Martin and Anne Stringfield",,,Education use,https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,image/jpeg,eng,,Yukultji_Napangati_Untitled_2018.jpg,,record,https://twocollections.com/artists/36-yukultji-napangati/works/9457-yukultji-napangati-untitled-2018/
W_9368,Untitled,2017,Yukultji Napangati,,Painting,,,,,"Two Collections, Collection of Steve Martin and Anne Stringfield",,,Education use,https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,image/jpeg,eng,,Yukultji_Napangati_Untitled_2017.jpg,,record,https://twocollections.com/artworks/categories/2/9522-yukultji-napangati-untitled-2017/
W_9457,Untitled,2020,Timo Hogan,,Painting,,,,,"Two Collections, Collection of Steve Martin and Anne Stringfield",,,Education use,https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,image/jpeg,eng,,Timo_Hogan_Lake Baker_2020.jpg,,record,https://twocollections.com/artworks/categories/2/9503-timo-hogan-lake-baker-2020/
W_9522,Untitled,2013,Bobby West Tjupurrula,"""This painting depicts designs associated with the lake site of Wilkinkarra (Lake Mackay) and rockhole site of Pinari. In ancestral times a large group of Tingarri Men travelled to these sites from Yunala, west of Kiwirrkurra, to perform the dances and sing the songs associated with the region. The lower lines in this painting depict the sandhills the men passed on their journey from Yunala, while the upper canvas is dominated by the shape of Wilkinkarra. Just below this shape sits the rockhole site of Pinari. Since events associated with the Tingarri Cycle are of a secret nature no further detail was given...These stories form part of the teachings of the post initiatory youths today as well as providing explanations for contemporary customs.""
— Papunya Tula Artists",Painting,,,,,"Two Collections, Collection of Steve Martin and Anne Stringfield",,,Education use,https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,image/jpeg,eng,,Bobby_West_Wilkinkarra_2013.jpg,,record,https://twocollections.com/artworks/categories/2/9513-bobby-west-tjupurrula-untitled-wilkinkarra-2013/
W_9503,Lake Baker,2024,Daniel Walbidi,,Painting,,,,,"Two Collections, Collection of Steve Martin and Anne Stringfield",,,Education use,https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,image/jpeg,eng,,Daniel_Walbidi_Kirriwirri_2024.jpg,,record,https://twocollections.com/artworks/categories/2/9512-daniel-walbidi-kirriwirri-2024/
W_9513,Untitled- Wilkinkarra,2008,Yinarupa Nangala,"""This painting depicts designs associated with the rockhole site of Mukula, east of Jupiter Well in Western Australia. The lines running through the centre of the painting depict the tali (sandhills) surrounding the site whilst the two large roundels represent the rockholes at Mukula itself. During ancestral times a large group of women came from the west and stopped at this site to perform the ceremonies associated with the area. The women, represented in the painting by the small 'U' shapes, later continued their travels towards the east, passing through Ngaminya, Kiwirrkura and Wirrulnga on their way to Wilkinkarra (Lake Mackay). As the women travelled they gathered a variety of bush foods including kampurarrpa berries (desert raisin) and pura (bush tomato)… The various shapes in the painting represent the features of the country through which the women travelled.""",Painting,,,,,"Two Collections, Collection of Steve Martin and Anne Stringfield",,,Education use,https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,image/jpeg,eng,,Yinarupa_Nangala_Untitled_2008.jpg,,record,https://twocollections.com/artworks/categories/2/9440-yinarupa-nangala-untitled-2008/
W_9512,Kirriwirri,2002,Angelina Pwerle,,Painting,,,,,"Two Collections, Collection of Steve Martin and Anne Stringfield",,,Education use,https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,image/jpeg,eng,,Angelina_Pwerle_Bush_Plum_2002.jpg,,record,https://twocollections.com/artworks/categories/2/9509-angelina-pwerle-bush-plum-2002/
